Name,Pos,Bats,Thr,Proj WAR,Med Years,Med Total,Med AAV
Jordan Montgomery,RP,L,L,0.917793,1,10000000,10000000
Foster Griffin,SP,R,L,0.746828,1,5000000,5000000
Alek Manoah,SP,R,R,0.693181,0,0,0
John Means,SP,L,L,0.539261,0,0,0
Sam Hentges,RP,L,L,0.392367,0,0,0
Jason Foley,RP,R,R,0.359227,0,0,0
Josh Sborz,RP,R,R,0.236729,0,0,0
Nick Madrigal,2B/3B,R,R,0.174254,0,0,0
Tom Murphy,C,R,R,0.171388,0,0,0
Keegan Thompson,RP,R,R,0.13034,0,0,0
Derek Law,RP,R,R,0.097773,0,0,0
Drew Smith,RP,R,R,-0.03282,0,0,0
Kazuma Okamoto,3B/1B,R,R,-0.1722,3,48000000,16000000
Munetaka Murakami,3B/1B,L,R,-0.39184,6,1.32E+08,22000000
Kyle Keller,RP,R,R,0,0,0,0
Jake Cousins,RP,R,R,0,0,0,0
